call,call_location,call_feat_type,call_encapsule,call_encapsule_location,call_encapsule_feat_type,call_encapsule_file_class,callee,callee_location,callee_file_class,callee_feat_type
 getSpecialtiesInternal(...)         , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/Vet.java:76:3:76:26                    , MethodCall                     , addSpecialty                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/Vet.java:75:14:75:25                   , Method      , Vet                , getSpecialtiesInternal         , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/Vet.java:53:27:53:48                   , Vet                , Method      
 new Vets(...)                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:48:15:48:24         , ClassInstanceExpr              , showVetList                           , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:45:16:45:26         , Method      , VetController      , Vets                           , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/Vets.java:31:14:31:17                  , Vets               , Constructor 
 findPaginated(...)                  , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:49:25:49:43         , MethodCall                     , showVetList                           , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:45:16:45:26         , Method      , VetController      , findPaginated                  , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:63:20:63:32         , VetController      , Method      
 getVetList(...)                     , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:50:3:50:19          , MethodCall                     , showVetList                           , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:45:16:45:26         , Method      , VetController      , getVetList                     , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/Vets.java:36:19:36:28                  , Vets               , Method      
 addPaginationModel(...)             , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:51:10:51:51         , MethodCall                     , showVetList                           , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:45:16:45:26         , Method      , VetController      , addPaginationModel             , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:54:17:54:34         , VetController      , Method      
 findAll(...)                        , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:66:10:66:40         , MethodCall                     , findPaginated                         , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:63:20:63:32         , Method      , VetController      , findAll                        , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetRepository.java:56:12:56:18         , VetRepository      , Method      
 new Vets(...)                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:73:15:73:24         , ClassInstanceExpr              , showResourcesVetList                  , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:70:28:70:47         , Method      , VetController      , Vets                           , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/Vets.java:31:14:31:17                  , Vets               , Constructor 
 getVetList(...)                     , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:74:3:74:19          , MethodCall                     , showResourcesVetList                  , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:70:28:70:47         , Method      , VetController      , getVetList                     , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/Vets.java:36:19:36:28                  , Vets               , Method      
 findAll(...)                        , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:74:28:74:55         , MethodCall                     , showResourcesVetList                  , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetController.java:70:28:70:47         , Method      , VetController      , findAll                        , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/VetRepository.java:46:18:46:24         , VetRepository      , Method      
 getId(...)                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/test/java/org/springframework/samples/petclinic/service/EntityUtils.java:46:8:46:21        , MethodCall                     , getById                               , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/test/java/org/springframework/samples/petclinic/service/EntityUtils.java:43:41:43:47       , Method      , EntityUtils        , getId                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/BaseEntity.java:39:17:39:21          , BaseEntity         , Method      
