call,call_location,call_feat_type,call_encapsule,call_encapsule_location,call_encapsule_feat_type,call_encapsule_file_class,callee,callee_location,callee_file_class,callee_feat_type
 new Owner(...)                      , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:63:28:63:38     , ClassInstanceExpr              , findOwner                             , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:62:15:62:23     , Method      , OwnerController    , Owner                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:47:14:47:18               , Owner              , Constructor 
 findById(...)                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:63:42:63:70     , MethodCall                     , findOwner                             , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:62:15:62:23     , Method      , OwnerController    , findById                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java:67:8:67:15      , OwnerRepository    , Method      
 new Owner(...)                      , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:68:17:68:27     , ClassInstanceExpr              , initCreationForm                      , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:67:16:67:31     , Method      , OwnerController    , Owner                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:47:14:47:18               , Owner              , Constructor 
 save(...)                           , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:80:3:80:25      , MethodCall                     , processCreationForm                   , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:74:16:74:34     , Method      , OwnerController    , save                           , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java:73:7:73:10      , OwnerRepository    , Method      
 getId(...)                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:82:32:82:44     , MethodCall                     , processCreationForm                   , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:74:16:74:34     , Method      , OwnerController    , getId                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/BaseEntity.java:39:17:39:21          , BaseEntity         , Method      
 findPaginatedForOwnersLastName(...) , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:99:31:99:87     , MethodCall                     , processFindForm                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:91:16:91:30     , Method      , OwnerController    , findPaginatedForOwnersLastName , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:125:22:125:51   , OwnerController    , Method      
 getLastName(...)                    , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:99:68:99:86     , MethodCall                     , processFindForm                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:91:16:91:30     , Method      , OwnerController    , getLastName                    , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/Person.java:46:16:46:26              , Person             , Method      
 getLastName(...)                    , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:94:7:94:25      , MethodCall                     , processFindForm                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:91:16:91:30     , Method      , OwnerController    , getLastName                    , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/Person.java:46:16:46:26              , Person             , Method      
 setLastName(...)                    , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:95:4:95:24      , MethodCall                     , processFindForm                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:91:16:91:30     , Method      , OwnerController    , setLastName                    , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/Person.java:50:14:50:24              , Person             , Method      
 getId(...)                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:109:33:109:45   , MethodCall                     , processFindForm                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:91:16:91:30     , Method      , OwnerController    , getId                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/BaseEntity.java:39:17:39:21          , BaseEntity         , Method      
